k,1e-09_sc_low,1e-09_sc_upp,1e-09_hf_low,1e-09_hf_upp
335,0.4553457297134744,0.700344364836939,0.4655553236490915,0.6969446763509086
336,0.454098409232472,0.6991964536072656,0.46430532364909144,0.6956946763509085
337,0.4528518790571703,0.698047751901866,0.46305532364909147,0.6944446763509086
338,0.45160613823883655,0.6968982606719518,0.4618053236490915,0.6931946763509086
339,0.4503611858455592,0.6957479808519265,0.4605553236490915,0.6919446763509086
340,0.449117020962157,0.6945969133594756,0.45930532364909143,0.6906946763509085
341,0.4478736426900847,0.6934450590956567,0.45805532364909146,0.6894446763509086
342,0.44663105014734295,0.6922924189449909,0.4568053236490915,0.6881946763509086
343,0.4453892424683913,0.6911389937755507,0.4555553236490915,0.6869446763509086
344,0.44414821880406585,0.6899847844390457,0.45430532364909143,0.6856946763509085
345,0.44290797832148454,0.6888297917709014,0.45305532364909146,0.6844446763509086
346,0.44166852020398384,0.6876740165903532,0.4518053236490915,0.6831946763509086
347,0.440429843651013,0.6865174597005075,0.4505553236490915,0.6819446763509086
348,0.4391919478780759,0.6853601218884438,0.4493053236490914,0.6806946763509085
349,0.4379548321166482,0.6842020039252731,0.44805532364909145,0.6794446763509085
350,0.43671849561409604,0.6830431065662178,0.4468053236490915,0.6781946763509086
351,0.43548293763360946,0.6818834305506902,0.4455553236490915,0.6769446763509086
352,0.43424815745412104,0.680722976602359,0.44430532364909153,0.6756946763509086
353,0.4330141543702575,0.6795617454292262,0.44305532364909145,0.6744446763509085
354,0.43178092769224374,0.6783997377236775,0.4418053236490915,0.6731946763509086
355,0.43054847674584606,0.6772369541625712,0.4405553236490915,0.6719446763509086
356,0.42931680087232027,0.6760733954072977,0.43930532364909153,0.6706946763509086
357,0.4280858994283322,0.6749090621038285,0.43805532364909144,0.6694446763509085
358,0.4268557717858952,0.673743954882791,0.43680532364909147,0.6681946763509086
359,0.42562641733232154,0.6725780743595333,0.4355553236490915,0.6669446763509086
360,0.4243978354701504,0.6714114211341684,0.4343053236490915,0.6656946763509086
361,0.4231700256171046,0.6702439957916451,0.43305532364909144,0.6644446763509085
362,0.4219429872060185,0.6690757989017897,0.43180532364909147,0.6631946763509086
363,0.42071671968479774,0.6679068310193768,0.4305553236490915,0.6619446763509086
364,0.41949122251635973,0.6667370926841668,0.4293053236490915,0.6606946763509086
365,0.41826649517858105,0.6655665844209648,0.42805532364909143,0.6594446763509085
366,0.4170425371642562,0.6643953067396702,0.42680532364909146,0.6581946763509086
367,0.41581934798103615,0.6632232601353192,0.4255553236490915,0.6569446763509086
368,0.41459692715139385,0.6620504450881399,0.4243053236490915,0.6556946763509086
369,0.4133752742125705,0.6608768620635896,0.42305532364909143,0.6544446763509085
370,0.4121543887165384,0.6597025115124047,0.42180532364909146,0.6531946763509086
371,0.41093427022995366,0.6585273938706364,0.4205553236490915,0.6519446763509086
372,0.40971491833411444,0.6573515095596969,0.4193053236490915,0.6506946763509086
373,0.40849633262492757,0.6561748589864003,0.4180553236490914,0.6494446763509085
374,0.40727851271286153,0.6549974425429914,0.41680532364909145,0.6481946763509085
375,0.4060614582229247,0.6538192606071949,0.4155553236490915,0.6469446763509086
376,0.40484516879460597,0.6526403135422341,0.4143053236490915,0.6456946763509086
377,0.40362964408186675,0.6514606016968878,0.41305532364909153,0.6444446763509086
378,0.4024148837530912,0.650280125405498,0.41180532364909145,0.6431946763509085
